Scholarship_Name,Gender,Caste,Religion,Education,Income,ExServicemen,Disability,Sports,Percentage,Status
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,Open,Hindu,Postgraduate,1039082,No,No,No,50.29,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,HSC,218862,No,No,No,87.85,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,PhD,363492,No,No,No,95.99,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,496697,No,No,Yes,75.82,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Postgraduate,1123931,No,No,No,82.31,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,SSC,1039705,No,No,Yes,46.53,Not Eligible
State Minority Scholarship Part II,Female,Open,Buddhist,Diploma,378237,No,No,No,61.06,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,1140739,No,No,Yes,96.17,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Diploma,683790,No,No,No,49.63,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,VJNT,Hindu,Postgraduate,386045,Yes,Yes,No,41.25,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,800653,No,Yes,Yes,66.57,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,666447,No,No,Yes,43.16,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,600966,No,No,Yes,71.23,Eligible
Education Concession to Children of Ex-Servicemen,Male,Open,Jain,Postgraduate,766666,Yes,No,No,46.37,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,1039449,No,No,No,63.85,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,33647,No,No,No,92.45,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,917661,No,No,No,73.73,Not Eligible
State Minority Scholarship Part II,Female,Open,Muslim,HSC,875845,No,No,No,86.23,Not Eligible
State Minority Scholarship Part II,Female,Open,Muslim,Diploma,843781,No,No,No,62.21,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,146143,No,No,Yes,88.42,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Diploma,1061932,No,No,No,63.68,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,689064,No,No,No,68.12,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,192673,No,No,No,84.49,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,282578,No,Yes,No,68.04,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,153519,No,No,No,47.15,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,911249,No,No,No,71.95,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,837563,No,No,No,81.1,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,686547,No,No,No,81.49,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Diploma,111766,No,No,No,63.09,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,107570,No,No,No,70.19,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,473845,No,No,No,72.74,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Postgraduate,757388,No,No,No,66.9,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,684651,No,No,Yes,50.43,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,824366,No,No,No,55.72,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,PhD,111039,No,No,No,66.54,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,636040,No,No,Yes,86.05,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,SSC,157383,No,No,No,94.23,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,756993,No,No,Yes,71.65,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,Open,Hindu,Undergraduate,350523,No,No,No,91.24,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,1097818,No,No,No,50.86,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,EWS,Hindu,Postgraduate,818011,Yes,No,Yes,98.06,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Diploma,366625,No,No,No,96.26,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Postgraduate,736004,No,No,No,53.22,Eligible
Education Concession to Children of Ex-Servicemen,Female,EWS,Hindu,HSC,228396,Yes,No,No,69.94,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,451135,No,No,No,66.96,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Undergraduate,975762,No,No,No,68.79,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Diploma,154918,No,No,No,57.3,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,50727,No,No,No,80.0,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,210118,No,No,No,46.59,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,SSC,834603,No,No,No,76.46,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,SC,Hindu,Diploma,251199,Yes,No,No,74.24,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,230288,No,No,No,90.57,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,214023,No,No,No,91.23,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,Undergraduate,950144,Yes,No,No,45.36,Not Eligible
State Minority Scholarship Part II,Male,Open,Muslim,HSC,114688,No,No,No,52.98,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,796793,No,No,No,94.06,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,414074,No,No,No,94.42,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,192047,No,No,No,88.61,Eligible
State Minority Scholarship Part II,Female,Open,Sikh,SSC,922276,No,No,No,75.69,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,HSC,830426,No,No,No,63.5,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,530477,No,No,No,80.04,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Postgraduate,843495,No,No,No,44.49,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,EWS,Hindu,Undergraduate,959442,Yes,No,No,97.8,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,SSC,925437,No,No,No,79.04,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,1050642,No,No,No,66.88,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,266734,No,No,No,97.64,Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,PhD,352056,Yes,No,No,82.58,Eligible
State Minority Scholarship Part II,Female,Open,Sikh,Undergraduate,834385,No,No,No,40.79,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,337293,No,No,No,41.49,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,SC,Hindu,PhD,579682,Yes,No,No,51.24,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,996616,No,No,No,72.62,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,143072,No,No,No,97.07,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,488160,No,No,Yes,49.62,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,PhD,539085,No,No,No,80.63,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,505998,No,No,No,60.58,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,89069,No,No,Yes,91.4,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,979936,No,No,No,59.44,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,984662,No,No,No,63.8,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,614096,No,No,No,71.0,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,910162,No,No,No,48.6,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,272019,No,No,Yes,43.84,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,437500,No,No,No,70.91,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Postgraduate,1145721,No,No,No,57.05,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,777647,No,No,No,71.61,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,154532,No,No,No,77.89,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,944166,No,No,No,46.82,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,SC,Hindu,HSC,948408,Yes,Yes,No,65.99,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Postgraduate,389319,No,No,No,61.52,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,SSC,666723,No,No,No,63.62,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Diploma,173837,No,No,No,92.92,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,422423,No,No,No,61.28,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,1050492,No,No,No,89.23,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,551684,No,No,No,57.54,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,677521,No,No,No,81.24,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,1104303,No,No,No,98.47,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,389874,No,No,No,64.42,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,1121476,No,No,Yes,94.17,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,SSC,481381,No,No,No,87.28,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,1021342,No,No,No,51.15,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,ST,Hindu,Postgraduate,315294,Yes,No,Yes,44.53,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,VJNT,Hindu,Diploma,1046128,Yes,No,No,94.11,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,HSC,381456,No,No,No,47.1,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,828914,No,No,Yes,68.17,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Postgraduate,149341,No,No,No,83.94,Eligible
Education Concession to Children of Ex-Servicemen,Male,VJNT,Hindu,Postgraduate,1061622,Yes,No,No,49.91,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,Postgraduate,633520,Yes,No,No,96.75,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,303606,No,No,No,95.0,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,PhD,956299,No,No,No,62.22,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Undergraduate,168863,No,No,No,44.25,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,1186251,No,No,No,77.08,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,970593,No,No,No,84.6,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,519409,No,No,No,86.22,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,1074492,No,No,No,91.26,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,498781,No,No,No,83.34,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,517563,No,No,No,59.61,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,39988,No,No,No,78.4,Eligible
State Minority Scholarship Part II,Male,Open,Christian,HSC,650248,No,No,No,63.05,Eligible
State Minority Scholarship Part II,Male,Open,Jain,Postgraduate,459737,No,No,Yes,57.75,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,801314,No,No,No,66.93,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,846833,No,No,No,71.58,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,ST,Hindu,Postgraduate,270052,Yes,No,No,70.06,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,PhD,780402,No,No,No,69.49,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,45948,No,No,No,83.1,Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Diploma,288717,No,No,Yes,49.07,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,467364,No,No,No,70.09,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,HSC,50882,No,No,No,40.8,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,Open,Hindu,HSC,551119,No,No,No,59.53,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,918255,No,No,No,70.81,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,PhD,1067810,No,No,No,50.95,Not Eligible
State Minority Scholarship Part II,Female,Open,Muslim,PhD,1148680,No,No,No,62.41,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,118519,No,No,No,72.1,Eligible
Education Concession to Children of Ex-Servicemen,Male,Open,Hindu,PhD,1104458,Yes,No,Yes,91.72,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,428227,No,No,No,81.04,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,SSC,569317,No,No,Yes,63.65,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,622572,No,No,No,72.09,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,515138,No,No,No,95.28,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Diploma,84029,No,No,No,50.14,Eligible
Education Concession to Children of Ex-Servicemen,Female,VJNT,Hindu,Diploma,635298,Yes,No,No,93.37,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,481539,No,No,No,42.69,Not Eligible
State Minority Scholarship Part II,Male,Open,Jain,HSC,199809,No,No,No,80.15,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Diploma,145183,No,No,Yes,91.25,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,682777,No,No,Yes,74.46,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,530152,No,No,Yes,82.61,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,293209,No,No,No,86.78,Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,Undergraduate,1079237,Yes,No,No,64.6,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,955587,No,No,No,68.3,Not Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,SSC,916318,No,No,No,56.04,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,565395,No,No,No,58.14,Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,SSC,755263,Yes,No,Yes,55.48,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,1157996,No,No,No,87.76,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,1161898,No,Yes,No,88.08,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Diploma,291289,No,No,No,94.8,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Postgraduate,181163,No,No,No,66.44,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,HSC,296280,No,No,No,71.19,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Postgraduate,1041349,No,No,No,58.64,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,Undergraduate,1051151,No,No,No,98.4,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,HSC,1006632,No,No,No,56.61,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Postgraduate,843026,No,Yes,No,66.92,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,415821,No,No,No,90.08,Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Postgraduate,938367,No,No,No,63.36,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Postgraduate,673325,No,No,No,78.78,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,333877,No,Yes,No,98.75,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,570825,No,No,No,999.9,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,514926,No,No,No,73.06,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,PhD,803667,No,No,No,-10.0,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,561095,No,No,No,93.66,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,431328,No,No,No,75.18,Eligible
State Minority Scholarship Part II,Male,Open,Christian,Undergraduate,1062413,No,No,Yes,42.24,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Postgraduate,814752,No,No,Yes,71.48,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,595440,No,No,No,41.58,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,926729,No,No,No,74.38,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,892333,No,No,No,49.36,Not Eligible
State Minority Scholarship Part II,Female,Open,Muslim,Diploma,1132307,No,No,No,62.01,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,747521,No,No,Yes,97.51,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,PhD,229762,No,No,Yes,80.29,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,1003865,No,No,No,91.22,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,PhD,110264,No,No,No,55.84,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,444026,No,No,No,94.47,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,1124165,No,No,Yes,83.07,Not Eligible
State Minority Scholarship Part II,Female,Open,Jain,Undergraduate,1191256,No,No,No,48.58,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Postgraduate,1090035,No,No,No,45.9,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,OBC,Hindu,Postgraduate,906403,Yes,No,No,42.48,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,PhD,259747,No,No,No,46.49,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Undergraduate,528685,No,No,No,93.09,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,HSC,85490,No,No,No,85.34,Eligible
Education Concession to Children of Ex-Servicemen,Female,ST,Hindu,Diploma,75915,Yes,No,Yes,77.92,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,1068483,No,No,No,70.76,Not Eligible
State Minority Scholarship Part II,Male,Open,Muslim,SSC,1129008,No,No,No,89.82,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SC,Hindu,HSC,1154493,Yes,No,No,85.3,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,1046166,No,No,No,95.57,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,937523,No,No,No,63.61,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,904847,No,No,No,78.05,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,PhD,573653,No,No,No,69.31,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,517037,No,No,No,78.52,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,1098307,No,No,No,93.11,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,527285,No,No,No,47.0,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,SSC,843014,No,No,No,68.78,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,SSC,895985,No,No,No,49.5,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,HSC,358564,No,No,No,65.82,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,788342,No,No,No,41.78,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,91309,No,No,No,53.28,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,284348,No,No,No,86.78,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,112720,No,No,No,62.12,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,577184,No,No,No,46.92,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Postgraduate,295438,No,No,No,94.74,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,PhD,70215,No,Yes,Yes,69.78,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,664328,No,No,No,79.47,Eligible
Education Concession to Children of Ex-Servicemen,Female,SBC,Hindu,SSC,537640,Yes,No,No,88.69,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,HSC,251849,No,No,No,63.66,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,807323,No,No,No,91.46,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,395618,No,No,Yes,75.51,Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,Diploma,998857,Yes,No,Yes,92.17,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,PhD,1120479,No,No,No,94.95,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Postgraduate,133427,No,No,No,40.57,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,1093460,No,Yes,No,42.39,Not Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Undergraduate,524607,No,No,No,95.29,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,335989,No,No,No,65.77,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,226827,No,No,No,67.95,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Diploma,788681,No,No,No,59.16,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Postgraduate,780589,No,No,No,49.57,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,600627,No,No,No,78.78,Eligible
State Minority Scholarship Part II,Male,Open,Muslim,Postgraduate,39808,No,No,No,86.61,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,52428,No,No,Yes,67.88,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,PhD,479848,No,No,No,85.31,Eligible
Education Concession to Children of Ex-Servicemen,Female,ST,Hindu,Diploma,224983,Yes,No,No,59.29,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,1147604,No,No,No,54.95,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,81212,No,No,No,54.73,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,178348,No,No,Yes,89.58,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,654761,No,No,No,43.43,Not Eligible
State Minority Scholarship Part II,Male,Open,Christian,Postgraduate,623592,No,No,Yes,53.53,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,950710,No,No,Yes,45.89,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,690799,No,No,No,59.04,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,222796,No,No,No,66.53,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Diploma,234095,No,No,No,42.81,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,110811,No,No,Yes,97.83,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,769936,No,No,No,53.58,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,1000629,No,No,Yes,71.89,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,105208,No,No,No,54.89,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,725649,No,No,No,40.76,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,308590,No,No,No,78.88,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,943796,No,No,No,46.81,Not Eligible
